Club,Apex (TM),Attack Angle (TM),Backspin (TM),Ball Speed (TM),Carry (TM),Club Path (TM),Club Speed (TM),Face Angle (TM),Hor Launch Angle (TM),Launch Angle (TM),Side Spin (TM),Side Total (TM),Side Yards (TM),Smash Factor (TM),Spin Axis (TM),Spin Rate (TM),Total (TM)
6i,52,-6.9,5113,118.7,171.6,2.1,87.4,0,0.4,10.8,-450,34.5,24.8,1.36,-5,5133,197
6i,67,-4.6,5366,122.3,174.8,3.6,86.9,1.1,1.6,12.1,-581,-4.9,-4.1,1.41,-6.2,5397,192.5
6i,84,-6,5691,127.4,186.9,-7.8,88.9,-5.8,-6.2,12.8,596,-23.8,-24.9,1.43,6,5722,200.3
6i,69,-3.8,4932,130.5,188.8,11.8,88.5,6,7.2,11.9,-1668,-21.8,-13.2,1.48,-18.7,5207,206.2
6i,94,-4.2,5519,130.6,196.1,-1.8,89.3,-3,-2.8,13.8,-121,-49.5,-45.6,1.46,-1.3,5520,208.1
6i,76,-5.6,6122,122.8,174.6,0.8,87.2,1.7,1.5,12.9,496,30.2,27.9,1.41,4.6,6142,187.6
6i,74,-5,5290,130.9,189.9,11.8,88.5,7.8,8.7,11.2,-598,27.2,29.4,1.48,-6.4,5323,206.9
6i,87,-5.6,5950,128,186.7,1,88.4,3.8,3.2,13,-119,55.7,50.3,1.45,-1.1,5951,200.7
50,78,-5.6,9028,93.6,119.4,2.6,76.7,-0.1,0.6,25.2,700,-6.4,-5.6,1.22,4.4,9055,123.5
50,52,-6,8417,87,105.4,3.4,70.2,-4.8,-2.3,21.6,1711,-1.3,-1.4,1.24,11.5,8589,113.6
50,87,-4.8,9636,98.2,127.2,1.4,81.6,0.5,0.8,26.2,-317,-9.4,-8.9,1.2,-1.9,9641,130.4
50,56,-7.2,9319,85.1,106.1,3,70.2,2.1,2.4,23.9,611,23.1,21.5,1.21,3.7,9339,112.8
50,68,-5.2,9636,93.8,121,3.4,75.7,-1.8,-0.2,23.8,-360,-15.7,-14.4,1.24,-2.1,9643,126.3
50,14,-4.6,5114,46.9,36.8,2.2,39.5,-3.2,-1.4,24.5,1235,0.4,-0.3,1.19,13.6,5261,49.1
50,13,-4.6,5334,44.6,33.8,3.4,36.9,-1.2,0.3,24.6,475,2.1,1.4,1.21,5.1,5356,45.5
1W,65,1.7,2705,158.1,252,-0.1,107.7,-3.9,-3.1,8.3,318,-1,-5.3,1.47,6.7,2723,288.4
1W,90,1.7,3272,160,265.8,0.7,109.4,-2.1,-1.5,8.4,249,31.4,25.3,1.46,4.4,3281,290.5
1W,88,3,2351,162.1,274.2,0.6,109,-1.3,-1,11.3,-203,-36,-32.1,1.49,-4.9,2359,306.5
1W,84,2,2618,163.1,280,0.8,109.9,-2.3,-1.8,10.1,10,-33.9,-29.8,1.48,0.2,2618,311.8
1W,117,0.6,3377,160,266.8,0,107,5.4,4.6,12.5,1227,211.8,194.6,1.5,20,3593,285.1
1W,83,0.3,3695,160.6,262.6,-4.1,109.7,-4.4,-4.3,8.4,851,39.3,28.4,1.46,13,3792,289
1W,97,2,2865,162.6,280.5,1,109.7,0.2,0.3,11.1,524,56.3,49.2,1.48,10.4,2912,305.8
1W,67,-0.6,3318,157.6,251.1,3.4,105.8,4,3.9,7.8,424,99.3,87.3,1.49,7.3,3344,280.4
1W,57,1.6,2221,160.2,248.7,3,109.5,3.3,3.3,8.7,-377,-6.6,0,1.46,-9.6,2253,289.8
1W,55,-1.3,3790,153.3,226,-4.1,109.2,-8.6,-7.5,5.9,1192,12.1,3.7,1.4,17.5,3974,256.5
4H,66,-4.2,3680,145.7,226.9,2.2,95.4,-0.6,-0.1,7.8,-154,-32.4,-26.9,1.53,-2.4,3683,253.1
4H,65,-3.2,2961,142.6,223.3,-0.2,94.8,-0.2,-0.2,9.7,-1376,-88.1,-73.1,1.5,-24.9,3265,254.8
4H,60,-4.5,3943,146.7,224.1,-1.5,96.2,-8.1,-6.9,6.9,174,-72.7,-67.5,1.53,2.5,3947,250.4
4H,66,-3.6,5046,142.3,212.2,-0.4,94.5,1.1,0.7,8.2,778,87.6,72.9,1.51,8.8,5105,234.4
4H,79,-3.2,3753,144,229.4,2.4,94.6,2.1,2.1,9.4,-303,22.8,19.9,1.52,-4.6,3765,253.9
4H,39,-5,3307,145.3,201.5,1.6,95,-0.9,-0.5,6.9,-919,-49.7,-38.8,1.53,-15.5,3433,241.8
4H,71,-2.6,3408,146.2,236.1,3.4,96.3,0.7,1.1,10.1,99,-14.2,-8.2,1.52,1.7,3409,267.4
4H,93,-3.8,4686,143.1,219.8,-0.4,94.5,2.2,1.7,10.5,347,80.8,70.1,1.52,4.2,4699,239
4H,94,-2.6,4620,146.9,235.1,-2,97,0.9,0.3,10.8,702,71.5,61.8,1.52,8.6,4673,254.9
4H,76,-3.8,3665,146.7,235.7,7.8,96.1,5.4,5.8,9.6,-73,53.1,51,1.53,-1.1,3665,260.6